'Jeotgalibacillus soli'
Bacteroides caecimuris
Bacteroides cellulosilyticus
Bacteroides cellulosolvens
Bacteroides clarus
Bacteroides coprocola
Bacteroides coprophilus
Bacteroides coprosuis
Bacteroides eggerthii
Bacteroides finegoldii
Bacteroides fluxus
Bacteroides fragilis
Bacteroides graminisolvens
Bacteroides helcogenes
Bacteroides intestinalis
Bacteroides luti
Bacteroides nordii
Bacteroides oleiciplenus
Bacteroides ovatus
Bacteroides pectinophilus
Bacteroides plebeius
Bacteroides pyogenes
Bacteroides reticulotermitis
Bacteroides salanitronis
Bacteroides sp.
Bacteroides stercoris
Bacteroides thetaiotaomicron
Bacteroides uniformis
Bacteroides vulgatus
Bacteroides xylanisolvens
Bacteroidetes bacterium
Bacteroidetes oral
Bacteroidia bacterium
Balneola sp.
Barnesiella viscericola
Bartonella alsatica
Bartonella apis
Bartonella henselae
Bartonella quintana
Bartonella tamiae
Bartonella taylorii
Bartonella tribocorum
Basidiobolus meristosporus
Basilea psittacipulmonis
Bathymodiolus thermophilus
Batrachochytrium dendrobatidis
Baudoinia panamericana
Bdellovibrio bacteriovorus
Bdellovibrio exovorus
Bdellovibrionales bacterium
Beauveria bassiana
Beggiatoa alba
Beggiatoa sp.
Beijerinckia indica
Belliella baltica
Belliella pelovolcani
Bellilinea caldifistulae
Bergeyella zoohelcum
Berkelbacteria bacterium
Bermanella marisrubri
Bernardetia litoralis
Beta vulgaris
Betaproteobacteria bacterium
Beutenbergia cavernae
Bhargavaea cecembensis
Bibersteinia trehalosi
Bieblia vinaykumarii
Bifidobacterium actinocoloniiforme
Bifidobacterium adolescentis
Bifidobacterium aesculapii
Bifidobacterium angulatum
Bifidobacterium animalis
Bifidobacterium asteroides
Bifidobacterium biavatii
Bifidobacterium bifidum
Bifidobacterium bohemicum
Bifidobacterium bombi
Bifidobacterium breve
Bifidobacterium callitrichos
Bifidobacterium cuniculi
Bifidobacterium dentium
Bifidobacterium felsineum
Bifidobacterium gallicum
Bifidobacterium gallinarum
Bifidobacterium imperatoris
Bifidobacterium indicum
Bifidobacterium longum
Bifidobacterium magnum
Bifidobacterium merycicum
Bifidobacterium minimum
Bifidobacterium mongoliense
Bifidobacterium myosotis
Bifidobacterium primatium
Bifidobacterium pseudocatenulatum
Bifidobacterium pseudolongum
Bifidobacterium psychraerophilum
Bifidobacterium reuteri
Bifidobacterium saguini
Bifidobacterium scaligerum
Bifidobacterium scardovii
Bifidobacterium sp.
Bifidobacterium subtile
Bifidobacterium thermophilum
Bifidobacterium tissieri
Bifidobacterium tsurumiense
Bifidobacterium vansinderenii
Bilophila wadsworthia
Bipolaris maydis
Bipolaris sorokiniana
Bipolaris zeicola
Bizionia argentinensis
Blastochloris viridis
Blastococcus saxobsidens
Blastococcus sp.
Blastomonas sp.
Blastopirellula marina
Blautia hansenii
Blautia hydrogenotrophica
Blautia obeum
Blautia sp.
Bordetella ansorpii
Bordetella avium
Bordetella bronchiseptica
Bordetella genomosp.
Bordetella hinzii
Bordetella parapertussis
Bordetella pertussis
Bordetella petrii
Bordetella sp.
Bordetella trematum
Bos taurus
Bosea sp.
Bosea thiooxidans
Bosea vaviloviae
Boseongicola aestuarii
Botryosphaeria corticola
Botrytis cinerea
Brachybacterium faecium
Brachybacterium muris
Brachybacterium nesterenkovii
Brachybacterium phenoliresistens
Brachybacterium sp.
Brachypodium distachyon
Brachyspira hyodysenteriae
Brachyspira sp.
Bradyrhizobiaceae bacterium
Bradyrhizobium cosmicum
Bradyrhizobium elkanii
Bradyrhizobium erythrophlei
Bradyrhizobium japonicum
Bradyrhizobium lablabi
Bradyrhizobium sp.
Bradyrhizobium vignae
Bradyrhizobium yuanmingense
Branchiibius sp.
Brassica napus
Brassica oleracea
Brassica rapa
Brenneria goodwinii
Brenneria sp.
Brettanomyces bruxellensis
Brevefilum fermentans
Brevibacillus borstelensis
Brevibacillus brevis
Brevibacillus choshinensis
Brevibacillus laterosporus
Brevibacillus panacihumi
Brevibacillus parabrevis
Brevibacillus sp.
Brevibacterium casei
Brevibacterium linens
Brevibacterium mcbrellneri
Brevibacterium sp.
Brevirhabdus pacifica
Brevundimonas abyssalis
Brevundimonas diminuta
Brevundimonas sp.
Brevundimonas subvibrioides
Brochothrix campestris
Brochothrix thermosphacta
Brucella abortus
Brucella canis
Brucella melitensis
Brucella ovis
Brucella sp.
Brucella suis
Brugia timori
Bulleidia extructa
Burkholderia ambifaria
Burkholderia andropogonis
Burkholderia caribensis
Burkholderia caryophylli
Burkholderia cenocepacia
Burkholderia cepacia
Burkholderia diffusa
Burkholderia dolosa
Burkholderia fungorum
Burkholderia gladioli
Burkholderia glathei
Burkholderia glumae
Burkholderia graminis
Burkholderia lata
Burkholderia latens
Burkholderia mallei
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia phenazinium
Burkholderia phymatum
Burkholderia phytofirmans
Burkholderia pseudomallei
Burkholderia rhizoxinica
Burkholderia sacchari
Burkholderia singularis
Burkholderia sp.
Burkholderia stabilis
Burkholderia terricola
Burkholderia thailandensis
Burkholderia tropica
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderia xenovorans
Burkholderiales bacterium
Buttiauxella agrestis
Butyricicoccus pullicaecorum
Butyricimonas synergistica
Butyrivibrio crossotus
Butyrivibrio fibrisolvens
Butyrivibrio hungatei
Butyrivibrio proteoclasticus
Butyrivibrio sp.
Byssochlamys spectabilis
C-di-AMP riboswitch
C-di-GMP riboswitch
C92U mutant
Caballeronia calidae
Caballeronia glathei
Caballeronia peredens
Caballeronia udeis
Caedibacter sp.
Caedibacter varicaedens
Caenispirillum salinarum
Caenorhabditis remanei
Cajanus cajan
Caldalkalibacillus thermarum
Caldanaerobius fijiensis
Caldibacillus debilis
Caldicellulosiruptor bescii
Caldicellulosiruptor obsidiansis
Caldicellulosiruptor owensensis
Caldicellulosiruptor saccharolyticus
Caldilinea aerophila
Caldisalinibacter kiritimatiensis
Caldisericum exile
Calditerrivibrio nitroreducens
Caldithrix abyssi
Caldithrix sp.
Calocera cornea
Caloramator australicus
Caloramator mitchellensis
Caloramator quimbayensis
Caloranaerobacter azorensis
Calothrix sp.
Caminicella sporogenes
Campylobacter avium
Campylobacter coli
Campylobacter cuniculorum
Campylobacter helveticus
Campylobacter jejuni
Campylobacter lari
Campylobacter pinnipediorum
Campylobacter upsaliensis
Candida arabinofermentans
Candida auris
Candida intermedia
Candida lignohabitans
Candida parapsilosis
Candida tanzawaensis
Candida tenuis
Candidatus Accumulibacter
Candidatus Acidianus
Candidatus Adiutrix
Candidatus Adlerbacteria
Candidatus Aegiribacteria
Candidatus Altiarchaeales
Candidatus Amesbacteria
Candidatus Aminicenantes
Candidatus Amoebophilus
Candidatus Aquiluna
Candidatus Arthromitus
Candidatus Atribacteria
Candidatus Bathyarchaeota
Candidatus Beckwithbacteria
Candidatus Berkelbacteria
Candidatus Bipolaricaulis
Candidatus Blackburnbacteria
Candidatus Brocadia
Candidatus Buchananbacteria
Candidatus Burkholderia
Candidatus Caedibacter
Candidatus Chisholmbacteria
Candidatus Chloracidobacterium
Candidatus Cloacamonas
Candidatus Cloacimonas
Candidatus Cloacimonetes
Candidatus Coatesbacteria
Candidatus Collierbacteria
Candidatus Colwellbacteria
Candidatus Competibacter
Candidatus Contendobacter
Candidatus Curtissbacteria
Candidatus Dadabacteria
Candidatus Daviesbacteria
Candidatus Defluviicoccus
Candidatus Delongbacteria
Candidatus Desantisbacteria
Candidatus Desulfofervidus
Candidatus Desulforudis
Candidatus Desulfosporosinus
Candidatus Doudnabacteria
Candidatus Edwardsbacteria
Candidatus Eisenbacteria
Candidatus Endoriftia
Candidatus Entotheonella
Candidatus Falkowbacteria
Candidatus Filomicrobium
Candidatus Firestonebacteria
Candidatus Fischerbacteria
Candidatus Frankia
Candidatus Fraserbacteria
Candidatus Gallionella
Candidatus Giovannonibacteria
Candidatus Glassbacteria
Candidatus Gottesmanbacteria
Candidatus Handelsmanbacteria
Candidatus Harrisonbacteria
Candidatus Hydrogenedentes
Candidatus Izimaplasma
Candidatus Jorgensenbacteria
Candidatus Kaiserbacteria
Candidatus Kapabacteria
